random id,age,gender,race,rank,years,employed,base_salary,bonus_comp,Total_Salary,region,areatype,major_procedures,satisfied_position,satisfied_salary
295,2,2,2,4,1,2,347000,0,347000,1,2,1,89,92
162,2,1,2,3,2,2,310000,0,310000,1,2,1,69,10
289,2,2,1,4,1,2,270000,Nil,270000,1,2,1,87,38
110,2,1,1,4,1,2,200000,335000,535000,5,1,1,90,84
83,2,1,1,4,1,2,347000,0,347000,2,2,1,13,22
191,2,1,1,3,2,2,510000,0,510000,2,1,1,100,100
91,2,1,1,4,1,2,525000,0,525000,1,2,1,81,50
46,2,1,1,4,1,2,270000,20000,290000,1,2,1,61,33
268,2,2,2,4,1,2,204000,Nil,204000,2,1,1,38,0
73,2,1,1,4,1,2,250000,0,250000,5,1,Nil,Nil,Nil
205,2,1,1,4,2,2,86000,0,86000,7,1,Nil,Nil,Nil
34,3,1,1,3,3,2,300000,110000,410000,1,2,1,100,87
45,3,1,2,1,2,2,200000,0,200000,1,2,1,80,79
35,3,1,1,3,3,2,400000,14000,414000,6,1,0,86,87
12,3,1,1,4,3,2,256000,25000,281000,1,2,0,70,65
89,3,1,1,3,2,2,250000,110000,360000,1,1,1,93,65
117,3,1,2,3,2,2,390000,0,390000,1,2,1,64,100
326,3,2,1,3,3,2,225000,0,225000,5,1,0,87,85
98,3,2,1,3,3,2,193000,12000,205000,5,1,0,76,35
263,3,1,2,3,4,2,300000,0,300000,5,2,0,89,79
220,3,1,1,3,3,2,220000,22000,242000,5,2,0,92,94
173,3,1,2,4,2,2,165000,Nil,165000,5,1,0,68,31
127,3,1,2,3,2,2,270000,15000,285000,2,1,0,66,58
228,3,1,1,3,3,2,160000,50000,210000,5,1,0,100,100
74,3,2,1,4,2,2,180000,3000,183000,1,2,0,64,35
3,3,1,1,2,2,2,280000,10000,290000,1,2,0,26,6
58,3,1,2,3,3,2,475000,0,475000,7,1,0,94,97
207,3,1,2,3,2,2,60000,225000,285000,1,2,1,81,49
8,3,1,1,4,1,2,163000,3000,166000,1,1,0,84,52
182,3,2,1,3,3,2,215000,0,215000,3,1,1,80,51
20,3,1,2,3,3,2,295000,0,295000,1,2,1,85,74
57,3,1,1,3,3,2,255000,15000,270000,1,2,0,76,64
273,3,1,1,4,2,2,178000,2000,180000,1,2,0,47,17
68,3,1,2,3,3,2,335000,40000,375000,4,2,1,75,27
134,3,2,1,3,2,2,250000,14000,264000,6,2,0,88,34
140,3,1,1,4,1,2,250000,8000,258000,5,2,0,14,76
218,3,2,2,3,2,2,150000,0,150000,6,1,0,85,70
192,3,1,1,3,2,2,310000,60000,370000,6,2,1,73,66
227,3,2,1,4,2,2,170000,10000,180000,5,1,0,65,34
55,3,2,1,4,3,1,120000,79000,199000,2,2,0,84,87
43,3,2,1,5,2,2,110000,Nil,110000,7,2,0,76,50
237,3,1,2,4,2,1,155000,0,155000,4,1,0,36,18
224,3,2,1,4,1,2,186000,0,186000,3,1,1,81,72
122,3,1,2,3,3,2,300000,0,300000,7,1,0,86,89
163,3,2,1,3,2,2,230000,35000,265000,6,1,0,52,42
208,3,2,1,3,2,2,500000,50000,550000,6,2,0,14,70
147,3,1,2,3,2,2,375000,75000,450000,5,2,1,80,79
328,3,2,1,4,1,2,260000,6000,266000,1,2,1,74,18
302,3,1,1,4,2,2,300000,Nil,300000,5,1,1,65,62
249,3,1,1,4,2,2,360000,0,360000,1,1,0,72,51
321,3,1,1,3,2,2,275000,20000,295000,1,1,1,69,32
23,3,1,2,4,2,2,300000,200000,500000,6,1,1,76,86
325,3,1,2,3,3,2,800000,0,800000,5,1,1,82,80
251,3,1,1,3,2,2,450000,260000,710000,6,1,1,100,97
274,3,1,2,4,1,2,300000,Nil,300000,1,2,0,80,66
148,3,2,1,4,2,2,220000,8000,228000,1,2,1,29,27
22,3,1,1,3,2,2,380000,30000,410000,6,2,1,74,76
54,3,1,1,6,3,2,930000,0,930000,1,1,1,83,99
175,3,1,1,4,1,2,250000,100000,350000,6,1,0,73,64
239,3,1,2,3,2,2,150000,225000,375000,4,1,1,51,25
2,3,1,1,3,2,2,200000,40000,240000,1,2,0,94,93
164,3,1,1,4,1,2,200000,Nil,200000,6,1,1,70,37
139,3,1,1,3,2,2,360000,0,360000,2,1,1,79,64
